epoch,train_loss,dev_eer,dev_auc,dev_acc
1,0.14104346107835372,0.43329371369314473,0.5906345827848403,0.8974400257607471
2,0.14089215607789674,0.43641093516151186,0.5859043941539521,0.10255997423925294
3,0.14091348276540366,0.43170146463818615,0.5906345035737239,0.10255997423925294
4,0.14078127978776175,0.4286290942641857,0.5958346869633007,0.12373208823055869
5,0.1403042760207204,0.42102106015876584,0.6041839522925175,0.6288439864756078
6,0.13834332677677355,0.4109405478677353,0.616723952146065,0.3789244888101755
7,0.13553010982683647,0.4060965240613096,0.6309054087603411,0.6784736757365963
8,0.13288413328012205,0.3983371087111668,0.6372121098377249,0.4809209467074545
9,0.13092488277207406,0.39758583527805424,0.6415036449083235,0.6603203992915795
10,0.1295434052874668,0.39594873512872897,0.6430636198339565,0.7533005957172758
11,0.12880485371941183,0.39484425052624345,0.6448920676368585,0.5069634519401063
12,0.12768085064077303,0.39508533395969964,0.6467446836315052,0.6343181452262115
13,0.12638533432198096,0.39475454833751006,0.6488191875657275,0.6935276123007568
14,0.12648796214420463,0.3937173403765746,0.6519362154069213,0.571445821928836
15,0.12472026648838,0.39396402139559145,0.653318704624352,0.6162856222830462
